iter	Passed	Remaining
0	0	609
1	1	599
2	1	582
3	2	577
4	2	563
5	3	556
6	3	551
7	4	548
8	4	547
9	5	548
10	6	543
11	6	538
12	7	537
13	7	535
14	8	536
15	8	534
16	9	534
17	9	534
18	10	532
19	10	531
20	11	528
21	11	527
22	12	526
23	12	525
24	13	526
25	14	527
26	14	530
27	15	530
28	15	529
29	16	527
30	16	526
31	17	524
32	17	524
33	18	524
34	19	524
35	19	524
36	20	523
37	20	522
38	21	524
39	21	522
40	22	523
41	22	523
42	23	523
43	24	523
44	24	523
45	25	521
46	25	521
47	26	520
48	26	519
49	27	518
50	27	518
51	28	517
52	28	517
53	29	517
54	30	516
55	30	515
56	31	514
57	31	514
58	32	515
59	32	515
60	33	514
61	33	512
62	34	510
63	34	510
64	35	510
65	35	508
66	36	509
67	37	509
68	37	508
69	38	508
70	38	507
71	39	506
72	39	505
73	40	505
74	40	504
75	41	504
76	42	504
77	42	503
78	43	503
79	43	503
80	44	503
81	44	502
82	45	502
83	46	501
84	46	501
85	47	500
86	47	500
87	48	499
88	48	498
89	49	499
90	49	499
91	50	499
92	51	498
93	51	498
94	52	498
95	52	498
96	53	497
97	54	497
98	54	496
99	55	495
100	55	495
101	56	495
102	56	495
103	57	495
104	58	495
105	58	494
106	59	494
107	59	493
108	60	492
109	60	492
110	61	491
111	61	490
112	62	490
113	62	489
114	63	489
115	64	488
116	64	488
117	65	487
118	65	486
119	66	486
120	66	485
121	67	484
122	67	484
123	68	484
124	69	484
125	69	483
126	70	482
127	70	482
128	71	481
129	71	480
130	72	480
131	72	479
132	73	478
133	73	477
134	74	477
135	74	476
136	75	475
137	76	475
138	76	475
139	77	474
140	77	473
141	78	473
142	78	472
143	79	472
144	79	471
145	80	471
146	81	470
147	81	469
148	82	468
149	82	468
150	83	469
151	83	468
152	84	467
153	85	467
154	85	467
155	86	466
156	87	467
157	87	467
158	88	468
159	89	468
160	89	467
161	90	467
162	91	467
163	91	466
164	92	466
165	92	466
166	93	466
167	93	465
168	94	465
169	95	465
170	95	465
171	96	464
172	97	464
173	97	463
174	98	463
175	98	463
176	99	462
177	100	461
178	100	461
179	101	460
180	101	460
181	102	460
182	103	459
183	103	459
184	104	459
185	104	459
186	105	458
187	105	457
188	106	457
189	107	456
190	107	456
191	108	456
192	109	455
193	109	455
194	110	454
195	110	454
196	111	453
197	111	453
198	112	453
199	113	452
200	113	452
201	114	451
202	114	451
203	115	450
204	115	449
205	116	449
206	117	449
207	117	449
208	118	448
209	119	448
210	119	448
211	120	448
212	121	447
213	121	447
214	122	446
215	122	446
216	123	446
217	124	446
218	125	446
219	125	446
220	126	446
221	127	446
222	127	445
223	128	445
224	129	444
225	129	444
226	130	444
227	130	443
228	131	443
229	132	442
230	132	442
231	133	441
232	134	441
233	134	440
234	135	440
235	135	439
236	136	439
237	136	438
238	137	437
239	138	437
240	138	436
241	139	436
242	140	436
243	140	436
244	141	436
245	142	435
246	142	435
247	143	434
248	143	433
249	144	433
250	145	433
251	145	432
252	146	432
253	147	431
254	147	431
255	148	430
256	148	430
257	149	429
258	149	428
259	150	428
260	151	427
261	151	427
262	152	426
263	152	426
264	153	425
265	154	425
266	154	425
267	155	424
268	156	424
269	156	423
270	157	423
271	158	423
272	158	422
273	159	422
274	159	421
275	160	421
276	161	421
277	162	421
278	163	421
279	163	420
280	164	420
281	164	419
282	166	420
283	166	420
284	167	420
285	168	420
286	169	420
287	170	421
288	171	422
289	172	422
290	174	425
291	175	426
292	176	426
293	177	427
294	179	428
295	180	429
296	181	429
297	182	429
298	183	430
299	184	430
300	185	431
301	186	432
302	187	432
303	189	432
304	190	433
305	191	433
306	192	434
307	193	435
308	194	435
309	195	435
310	196	435
311	197	434
312	197	434
313	198	433
314	198	432
315	199	432
316	200	431
317	200	430
318	201	430
319	202	429
320	202	429
321	203	428
322	204	428
323	204	427
324	205	426
325	206	425
326	206	425
327	207	424
328	207	424
329	208	423
330	209	422
331	209	422
332	210	421
333	211	420
334	211	420
335	212	419
336	212	418
337	213	418
338	214	417
339	214	416
340	215	416
341	216	415
342	216	415
343	217	414
344	217	413
345	218	413
346	219	412
347	219	411
348	220	410
349	220	409
350	221	409
351	221	408
352	222	407
353	223	406
354	223	406
355	224	405
356	224	404
357	225	404
358	225	403
359	226	402
360	226	401
361	227	400
362	227	399
363	228	399
364	228	398
365	229	397
366	230	397
367	230	396
