Complexity|MSE|Equation
1|0.0020928103|x4
3|0.0016583401|(x2 * -1.9103589)
5|8.979392e-5|(x1 * (0.03362699 - x0))
7|4.9278384e-5|((x1 * (0.03362699 - x0)) - x2)
9|4.5125627e-5|((x1 * ((-0.021627588 - x0) - x1)) - x2)
11|4.016203e-5|((x1 * ((x3 - x0) - (x1 * 0.56799304))) - x2)
13|3.915792e-5|(((x1 + x3) * (((x3 - x1) * 0.5861709) - x0)) - x2)
15|3.7997022e-5|(((x1 + x3) * (((x3 - x1) * (0.46067718 - x1)) - x0)) - x2)
17|3.6923724e-5|(((x1 + x3) * (((-0.021225506 - x1) * ((0.493338 - x1) - x1)) - x0)) - x2)
19|3.640588e-5|(((x1 + x3) * ((((-0.021108983 - x1) * ((0.49223426 - x1) - x1)) - x2) - x0)) - x2)
