uf,u_x,u_xx,u_xxx,u_xxxx,uf*u_x,uf*u_xx,uf*u_xxx,uf*u_xxxx,u_x*u_xx,u_x*u_xxx,u_x*u_xxxx,u_xx*u_xxx,u_xx*u_xxxx,u_xxx*u_xxxx
0.98736906,0.06077698,-0.0004762233,0.00052356557,-0.00051576155,0.06000931,-0.00047020815,0.0005169524,-0.000509247,-2.8943414e-05,3.1820735e-05,-3.134643e-05,-2.4933414e-07,2.4561766e-07,-2.70035e-07
0.9933319,0.060732894,-0.00042738958,0.00047011953,-0.000573115,0.06032792,-0.0004245397,0.00046698473,-0.00056929345,-2.5956606e-05,2.855172e-05,-3.4806933e-05,-2.0092419e-07,2.4494338e-07,-2.6943255e-07
0.99929523,0.06069304,-0.0003840811,0.00041103698,-0.0006303927,0.060650267,-0.0003838104,0.0004107473,-0.0006299484,-2.331105e-05,2.4947083e-05,-3.826045e-05,-1.5787154e-07,2.4212193e-07,-2.591147e-07
1.0052557,0.060656905,-0.00034690683,0.00034634478,-0.0006874303,0.0609757,-0.00034873007,0.00034816505,-0.0006910433,-2.1042295e-05,2.1008202e-05,-4.1697396e-05,-1.2014937e-07,2.3847429e-07,-2.380879e-07
1.0112066,0.060624857,-0.00031633442,0.00027608138,-0.0007440557,0.061304256,-0.00031987947,0.00027917532,-0.0007523941,-1.9177729e-05,1.6737395e-05,-4.510827e-05,-8.7334044e-08,2.3537044e-07,-2.0541994e-07
1.0171576,0.06059454,-0.0002928861,0.00020026688,-0.0008000885,0.061634194,-0.00029791132,0.00020370296,-0.0008138161,-1.77473e-05,1.21350795e-05,-4.8480997e-05,-5.8655385e-08,2.343348e-07,-1.6023122e-07
1.0231009,0.060566776,-0.00027715418,0.00011901386,-0.00085535407,0.06196592,-0.00028355667,0.00012176318,-0.0008751135,-1.6786335e-05,7.2082858e-06,-5.1806037e-05,-3.2985188e-08,2.3706495e-07,-1.0179899e-07
1.029042,0.06053977,-0.00026966925,3.236654e-05,-0.00090966804,0.062297966,-0.00027750098,3.330653e-05,-0.00093608664,-1.6325715e-05,1.959463e-06,-5.5071094e-05,-8.728261e-09,2.453095e-07,-2.9442807e-08
1.034996,0.060513474,-0.00027101763,-5.9567083e-05,-0.0009628456,0.062631205,-0.00028050216,-6.165169e-05,-0.0009965413,-1.640022e-05,-3.604611e-06,-5.826513e-05,1.614373e-08,2.6094813e-07,5.73539e-08
1.0409341,0.06048642,-0.00028153404,-0.00015664563,-0.0010146995,0.062962376,-0.00029305837,-0.00016305778,-0.0010562353,-1.7028986e-05,-9.474934e-06,-6.137554e-05,4.410108e-08,2.8567243e-07,1.5894824e-07
1.0468659,0.06045789,-0.0003018571,-0.00025873957,-0.0010650435,0.063291304,-0.00031600392,-0.00027086565,-0.0011149577,-1.8249642e-05,-1.5642849e-05,-6.439028e-05,7.8102374e-08,3.2149094e-07,2.755689e-07
1.0527935,0.060427237,-0.0003324592,-0.00036570439,-0.0011136942,0.0636174,-0.00035001087,-0.0003850112,-0.00117249,-2.008959e-05,-2.2098506e-05,-6.7297464e-05,1.2158179e-07,3.7025788e-07,4.0728284e-07
