Complexity|MSE|Equation
1|0.023979302|-1.0584632
5|0.023743862|(-1.03199 + (-0.0052937535 * x0))
7|0.00511168|(-1.0208683 + sin(-0.20751515 * sin(x0)))
8|0.0033562602|((sin(x0 * 0.9437196) * -0.236741) + -1.0161794)
10|0.002366677|(-1.0124953 + (0.21297207 * sin(-0.352652 + (-0.89494675 * x0))))
11|0.0023630327|(-1.0124537 + sin(-0.21426737 * sin(0.35250324 + (0.89499426 * x0))))
12|0.002359524|(-1.0124228 + sin(sin(-0.21560289 * sin(0.35216373 + (0.8950785 * x0)))))
13|0.002351494|((sin(sin((x0 + 0.4201052) * 0.8915267) * -0.87139875) * 0.26266837) + -1.0161794)
14|0.0023249595|(-1.0119069 + sin(-0.25568467 * sin(0.9396162 * sin(0.34532782 + (0.8965734 * x0)))))
17|0.0023242938|(-1.0118669 + (0.5872452 * sin(sin(0.4719512 * sin(-0.87871635 * sin(0.34525338 + (0.89664745 * x0)))))))
