iter	Passed	Remaining
0	53	53294
1	56	28312
2	59	19929
3	63	15698
4	65	13130
5	69	11461
6	72	10287
7	75	9373
8	78	8632
9	80	8000
10	84	7562
11	86	7133
12	89	6779
13	93	6550
14	95	6291
15	99	6088
16	101	5871
17	103	5672
18	106	5494
19	108	5339
20	111	5216
21	114	5078
22	116	4948
23	118	4819
24	120	4699
25	122	4606
26	125	4534
27	128	4463
28	131	4392
29	133	4312
30	135	4244
31	138	4181
32	140	4113
33	142	4045
34	145	4000
35	148	3969
36	150	3925
37	153	3892
38	156	3850
39	159	3823
40	161	3787
41	164	3750
42	166	3712
43	169	3684
44	173	3685
45	176	3662
46	179	3637
47	182	3616
48	185	3597
49	188	3583
50	192	3581
51	195	3555
52	197	3532
53	200	3508
54	203	3489
55	205	3468
56	209	3469
57	212	3448
58	214	3426
59	217	3404
60	220	3388
61	222	3365
62	224	3342
63	227	3328
64	230	3320
65	235	3326
66	238	3314
67	241	3303
68	244	3298
69	247	3294
70	250	3282
71	253	3271
72	256	3254
73	258	3240
74	261	3224
75	263	3206
76	267	3205
77	271	3208
78	275	3209
79	278	3205
80	281	3198
81	285	3192
82	287	3175
83	290	3162
84	292	3149
85	295	3138
86	299	3138
87	302	3139
88	306	3137
89	309	3132
90	313	3128
91	317	3129
92	321	3132
93	324	3123
94	327	3118
95	331	3120
96	335	3123
97	338	3113
98	340	3102
99	344	3101
100	348	3101
101	352	3100
102	355	3095
103	357	3084
104	361	3078
105	364	3077
106	367	3066
107	370	3057
108	373	3053
109	375	3041
110	379	3035
111	381	3028
112	384	3020
113	387	3008
114	390	3002
115	392	2993
116	395	2986
117	398	2979
118	401	2975
119	404	2966
120	407	2956
121	410	2952
122	412	2941
123	414	2930
124	416	2918
125	419	2906
126	421	2897
127	423	2885
128	426	2877
129	428	2869
130	431	2865
131	435	2865
132	438	2860
133	441	2854
134	444	2845
135	446	2834
136	448	2823
137	450	2813
138	452	2803
139	454	2792
140	456	2782
141	459	2778
142	462	2771
143	464	2763
144	467	2753
145	469	2745
146	471	2737
147	474	2729
148	476	2720
149	478	2711
150	480	2703
151	482	2693
152	484	2683
153	486	2673
154	488	2664
155	491	2660
156	494	2654
157	497	2649
158	499	2643
159	501	2635
160	503	2625
161	506	2618
162	508	2610
163	511	2605
164	513	2597
165	515	2590
166	517	2582
167	519	2574
168	522	2566
169	524	2558
170	526	2551
171	528	2545
172	530	2537
173	533	2530
174	535	2523
175	537	2516
176	539	2510
177	542	2504
178	545	2499
179	547	2492
180	549	2484
181	551	2477
182	553	2471
183	556	2469
184	559	2466
185	562	2460
186	564	2454
187	567	2449
188	569	2443
189	571	2437
190	574	2433
191	576	2428
192	579	2422
193	581	2417
194	584	2412
195	587	2411
196	590	2408
197	593	2404
198	596	2400
199	598	2395
200	601	2390
201	603	2385
202	606	2380
203	608	2374
204	610	2368
205	612	2362
206	615	2356
207	617	2349
208	619	2344
209	622	2340
210	625	2339
211	628	2335
212	630	2329
213	632	2324
214	635	2320
215	637	2315
216	640	2309
217	642	2304
218	644	2299
219	646	2292
220	648	2286
221	651	2282
222	654	2279
223	656	2274
224	659	2271
225	662	2269
226	665	2264
227	668	2261
228	670	2257
229	673	2253
230	675	2249
231	677	2243
232	679	2238
233	682	2233
234	684	2228
235	686	2223
236	689	2219
237	692	2215
238	694	2210
239	696	2205
240	698	2199
241	700	2195
242	703	2190
243	705	2184
244	707	2180
245	709	2175
246	712	2170
247	714	2166
248	716	2162
249	719	2158
250	721	2153
251	724	2150
252	726	2145
253	728	2140
254	731	2136
255	733	2130
256	735	2125
257	737	2120
258	739	2115
259	741	2110
260	743	2106
261	746	2101
262	748	2098
263	751	2094
264	753	2090
265	755	2085
266	757	2080
267	760	2076
268	762	2072
269	764	2067
270	766	2062
271	768	2058
272	770	2053
273	773	2048
274	775	2043
275	777	2039
276	779	2035
277	782	2032
278	785	2030
279	788	2028
280	791	2024
281	793	2019
282	795	2016
283	798	2012
284	800	2008
285	802	2003
286	804	1999
287	806	1994
288	809	1990
289	811	1985
290	813	1981
291	815	1976
292	817	1973
293	820	1970
294	823	1967
295	826	1965
296	829	1963
297	832	1960
298	835	1957
299	837	1955
300	841	1953
301	844	1952
302	848	1951
303	851	1949
304	853	1945
305	856	1941
306	858	1938
307	861	1936
308	864	1933
309	866	1929
310	869	1925
311	872	1923
312	875	1920
313	878	1918
314	880	1915
315	884	1914
316	887	1911
317	890	1908
318	892	1905
319	895	1901
320	897	1899
321	900	1896
322	904	1895
323	906	1891
324	910	1890
325	913	1889
326	916	1886
327	919	1883
328	921	1879
329	924	1877
330	927	1874
331	930	1871
332	932	1868
333	935	1864
334	937	1861
335	941	1859
336	944	1859
337	947	1856
338	950	1853
339	953	1850
340	956	1849
341	959	1846
342	962	1843
343	965	1841
344	967	1837
345	969	1833
346	972	1830
347	975	1827
348	977	1823
349	980	1820
350	983	1817
351	985	1814
352	987	1810
353	991	1808
354	993	1805
355	996	1801
356	998	1798
357	1000	1794
358	1003	1791
359	1006	1789
360	1009	1786
361	1011	1783
362	1014	1780
363	1017	1777
364	1020	1774
365	1022	1772
366	1025	1768
367	1027	1764
368	1030	1762
369	1033	1759
370	1035	1755
371	1038	1753
372	1041	1750
373	1043	1746
374	1045	1743
375	1048	1739
376	1050	1736
377	1052	1732
378	1054	1728
379	1057	1724
380	1059	1721
381	1061	1717
382	1063	1713
383	1065	1709
384	1068	1706
385	1072	1705
386	1075	1704
387	1078	1701
388	1080	1697
389	1083	1694
390	1086	1691
391	1088	1688
392	1091	1685
393	1093	1682
394	1096	1678
395	1098	1675
396	1101	1672
397	1103	1669
398	1106	1666
399	1108	1663
400	1112	1661
401	1114	1658
402	1117	1655
403	1119	1651
404	1122	1648
405	1124	1645
406	1127	1642
407	1129	1638
408	1131	1634
409	1133	1631
410	1136	1628
411	1138	1624
412	1140	1621
413	1143	1618
414	1146	1616
415	1149	1613
416	1152	1610
417	1155	1608
418	1157	1605
419	1159	1601
420	1161	1598
421	1164	1595
422	1166	1591
423	1170	1589
424	1172	1586
425	1175	1583
426	1178	1581
427	1180	1577
428	1184	1576
429	1187	1574
430	1190	1572
431	1193	1569
432	1196	1566
433	1198	1563
434	1201	1560
435	1203	1557
436	1206	1554
437	1209	1552
438	1212	1549
439	1215	1546
440	1217	1542
441	1219	1540
442	1222	1537
443	1224	1533
444	1227	1530
445	1231	1529
446	1234	1527
447	1237	1524
448	1240	1521
449	1242	1518
450	1245	1516
451	1248	1513
452	1251	1511
453	1254	1508
454	1257	1506
